,Название,Текст,Первоисточник
270,"Я СЛЕЧУ, СИРЕНЬ...","

Небо синее,
нет у неба предела
здесь, близко,
и там, далеко.
Появилось облачко
и поредело.
Небу
тайну хранить нелегко.

Я прикрою веки,
прикрою веки,
чтобы мир едва голубел н серел.
Слечу я
на твои синие ветки,
на твои синие ветки
слечу, сирень!

Я буду петь твоим мелким цветочкам,
о, буду петь,
буду только петь-
твоим прожилкам,
крапинкам, точкам,
потому что не смогу утерпеть.

Я буду петь голосисто и тонко.
Как мне хочется петь, сирень!
Никому так не хочется!
Может быть, только
небу хочется так же синеть.

О облака!
Я догнать их надеюсь.
Я за ними следую
всегда и сейчас.
Но куда я денусь?
О, никуда не денусь,
сирень,
от твоих сиреневых глаз.

О, зачем мне скрывать эту тайну?
Навеки,
навсегда
одного хочу.
Я слечу на твои синие ветки,
на твои синие ветки слечу.

",[]
271,x x x,"

Когда прохожу
по долине росистой,
меня, как ребенка,
смешит роса.
Цветы
приоткрывают
ресницы,
к моим глазам
обращают глаза.
Я вижу
движение каждого пестика,
различаю границу
утра и дня.
Ветер,
подай мне цветок персика,
травой и листьями
осыпь меня!
Я,
эти цветы нашедшая,
хочу,
чтоб они из земли вылезали.
И как сумасшедшая -
о, сумасшедшая -
хохочет трава
с растрепанными волосами.
Деревья сняли
свои драгоценности
и левой пригоршней
меня забросали.
Вот драгоценности -
все они в целости.
Деревья,
вы понимаете сами.
Я тоже,
я тоже сошла с ума.
Всего мне мало,
и все мне мал(!
Хохочет,
хохочет -
не я сама! -
хохочет,
хохочет сердце мое!
И ты
на исходе этого дня
листьями и травою прогоркшее
осыпь меня,
да, осыпь меня,
но только правой пригоршней!

",[]
272,x x x,"

О бабочек взлеты и слеты!
Может быть, я ошибаюсь.
То слезы,
но добрые слезы.
Я плачу
и улыбаюсь.

Я выросла в поле,
где средь травинок
капли росы навешены.
Я веточка,
полная зеленых кровинок,
срезанная невеждами.

Я стану свирелью,
свирелью зеленой!
Нагряну к вам трелью,
трелью залетной!

",[]
273,Я СОВСЕМ МАЛЕНЬКАЯ ВЕТОЧКА...,"

Вот я стою - ни женщина, ни девочка,
и ветер меня гладит по плечам.
Я - маленькая, маленькая веточка.
Садовник, утоли мою печаль.

Садовник, заслони меня от ветра:
мои он разоряет лепестки.
Что сделаю я - маленькая ветка?
Ведь у меня ни слова, ни руки.

О, подойди, скажи: не солгала ты,
ты - маленькая веточка, прости.
А ветер - он буян и соглядатай,
и ты меня от ветра защити.

",[]
274,x x x,"

Как пелось мне и бежалось мне,
как хотелось
петь и бежать!

Недоверчивой и безжалостной
мне никогда не бывать.
Когда месяц встает
за крепостной стеной
Орбелиани,
там,
вдалеке,
я, как дудка, следую за тобой
и отражаюсь в реке.
Идешь ли ты за арбою,
или у родника
стоишь, -
я иду за тобою,
и походка моя легка.
Недоверчивой и безжалостной никогда
мне не бывать
с тобой.
Поверь,
когда засияет звезда
предрассветная
во мгле голубой, -
это ты мне свой посылаешь привет,
просишь помнить,
не забывать.
Недоверчивой и безжалостной- -
нет! -
мне никогда не бывать!

",[]
275,"О МАГНОЛИЯ, КАК Я ХОЧУ","
<",[]
276,БЫТЬ С ТОБОЙ!,"

За листом твоим,
листом дорогим,
не угнаться -
он летит по воде и по суше.
Так и сердце его:
другим, другим,
другим его сердце послушно.

О моя магнолия,
лист твой поднят
ветром -
не видать тебе твоего листа.
Наверно, не помнит он меня,
наверно, не помнит,
конечно, не помнит он моего лица.

Девятиглазого солнца
и бушующих морей
мы несем любовь,
только ты и я.
Но почему он не помнит
об этой любви моей,
почему, магнолия,
он не помнит меня?

У тебя, быть может,
был такой же час,
и он снова вернется,
и все это развеется?..
Нет, чтобы южные ветры
навеки покинули нас,
мне что-то не верится,
что-то не верится.

Как он горд, магнолия,
как он горд.
Но с нами любовь
и цвет голубой
прекрасных морей,
прекрасных гор.
О магнолия, как я хочу быть с тобой!

",[]
277,МОЛИТВА ЗМЕИ,"

Как холодна змея,
красива,
когда черты ее видны.
Все крапинки ее курсива
так четко распределены.
Внимая древнему мотиву,
она касается земли
и погружается в молитву,
молитву страшную змеи.
Знать, душу грешную свою
с надеждой богу поверяет,
в молитве с нею порывает
и просит:
""Бог, прости змею!""
О, нету,
нету больше мочи! -
и к скалам приникает грудь,
и вдруг таинственная грусть
змеиные заслонит очи.
И будет шепот этот литься
с ее двойного языка,
пока вокруг сухие листья
толкают руки ветерка.
Сейчас пусти ее в пески,
не попрекни смертельным делом -
с глазами,
полными тоски,
и к солнцу обращенным телом.
Пусть отстоит
свою молитву
и чудно полосы свернет,
и сквозь просвирник и малину
всей кожей крапчатой сверкнет.
Пусть после этих странных таинств
она взовьется вдалеке,
чтоб отплясать свой страшный танец
как будто с бубнами в руке.
Так пусть отпляшет разудало,
своими кольцами звеня.
Быть может,
старый ""узундара""
сегодня выберет змея...

",[]
278,ТАТАРКЕ ДЕВУШКЕ,"

Татарка девушка,
сыграй на желтом бубне,
здесь, возле рынка, где кричит баран.
Татарка девушка,
нарушим эти будни,
отпразднуем торжественно байрам.
О, сколько клиньев,
красных и сиреневых,
в себя включает
странный твой наряд.
Сплетенья маленьких монет серебряных
на шее твоей тоненькой горят!
Возьми свой бубен.
Пусть в него вселится
вся молодость твоя и удальство.
Пусть .и моя душа повеселится
Да празднике веселья твоего.

",[]
279,БУБНЫ,"

Когда я говорить устану,
когда наскучат мне слова,
когда я изменю уставу
веселости и торжества, -
выходят из подвалов бубны
тогда,
о, именно тогда,
все их движения так буйны
и песня их так молода.
Осенним солнцем залитые,
они на площади сидят,
и бьют в ладошки золотые
и весело вокруг глядят.

Что за ночь - по реке и по рощам!
Что за ночь окружает меня!
Ты кричишь: ""Эй, паромщик, паромщик!""
Но вокруг ни души, ни огня.

Как далеки и Дзегви, и Мцхета,
и таинственный месяц в реке.
Он молчит, но так слышимо это.
Что он думает там, вдалеке?

",[]
280,x x x,"

Я тебя увенчаю короной,
я тебе жемчугов надарю.
Захочу я - и славой короткой,
громкой славой тебя наделю.

А когда ты затихнешь в восторге,
я сама засмеюсь, удивлюсь.
Для тебя я взошла на востоке,
для тебя я на запад склонюсь.

",[]
281,"СКАЖИ МНЕ, ЧИАМАРИЯ...","

Чиамария, чиамария,
отшумел этот дождик сполна.
Ты такая смешная и маленькая.
Чнамария, где ты спала?

Твои крылышки, верно, простыли,
когда капля тебя волокла.
Я кажусь тебе тенью в пустыне, -
так я рядом с тобой велика.

Чиамария, в чем твоя радость?
Эти крапинки кто намечал?
Чиамария, в чем наша разность?
Ведь и мне этот дождь не мешал.

",[]
282,x x x,"

Свирель поет печально,
стройно,
и птица напрягает мускулы.
О, как задумчиво и строго
акация
внимает музыке.
Взлетает птица
выше,
выше,
туда,
где солнце и цветенье,
а маленькая ветка вишни
хранит ее прикосновенье.

",[]
283,x x x,"

Он безмолвствует,
спит на крышах,
но вот он гудеть начинает,
и тогда
на зеленых крыльях
поднимаются
к солнцу
чинары.
Страх перед ними осиля,
плача от тяжкой печали,
взмывают мои осины,
шевеля
большими плечами.

",[]
284,x x x,"

                  Маленькой Виоле

Какие розовые щеки,
и в каждой светит по костру,
и глаз голубенькие щелки
еще не клонятся ко сну.
О девочка,
что ""Деда-эна""
тебе расскажет о земле?
Как виноград лисица ела?
Как заяц белым стал к зиме?
С какою трогательной грустью
ты плачешь! Вздрагивают плечики.
Зачем лисице с белой грудью
попались .маленькие птенчики?!
О, радость первого незнания!
Ты выговорила едва
цветов красивые названия:
""а-и нар-ги-зи, а-и и-а"".
Все в маленьком твоем рассудке
запечатлелось, но опять
ласкаешь пестрые рисунки.
Устала книжка,
хочет спать.
День к вечеру переломился.
Вот месяц вышел и горит,
а язычок не утомился.
Смеется он
и говорит.
Жизнь будет сложная и долгая.
О девочка,
запомни так:
страна твоя большая,
добрая,
она вся в реках и цветах.
А ты играешь с мамой в ладушки -
тебе ли думать о судьбе!
Ромашки,
маки
или ландыши -
что больше нравится тебе?

",[]
285,ЛАДО АСАТИАНИ,"

        Вспомнят меня, как Цикаду, и наступят
        на теплую могилу мою.
                        Л.Асатиани

Где-то поблизости
солнце и ветры
дадут акации
зацвести поскорей,
и осыплются эти белые ветки,
осыплются
над могилой твоей.
Я-то знаю,
что под этой елью
ты уснул,
положив свою голову в маки.
Взбудораженный любовью,
наполненный ею,
ты лежишь,
как лежат все поэты и маги.
А земля наполняется парусами
и цветами,
которые тебя так манили...
А Пиросмани?
О, Пиросмани
придет к твоей теплой могиле...
Ты умер, окончился,
но снова прокрался
в эту жизнь.
Велики твои радость и грусть.
О весна! Взгляни, сколь она прекрасна!
А цветы все падают и падают тебе на грудь.

",[]
286,x x x,"

Долгой жизни тебе,
о фиалка!
Твоим синим и милым глазам.
Чтобы ветром тебя не сразило!
Чтобы градом тебя не задело!
Чтоб тебя не ушибли ногой!

",[]
287,ОБЛАКА,"

Грозы и солнца перемирие,
и облака несут утрату
дождя -
над всем:
над пирамидами,
над Хеттой,
Мидией,
Урарту.
И радуга -
грозы напарница-
встает,
и пенится Кура.
Куда теперь они направятся?
Куда? Не ведаю.
Куда?

",[]
288,x x x,"

О, пусть ласточки обрадуют нас вестью
о появлении первых роз.
Пусть мотылек
поцелуется с яблоневой ветвью
и та приоткроет
свой маленький рот.
О, снова март,
и снова это деленье
на голубое с зеленым
с примесью красок других.
Цветы начинаются на земле,
поднимаются на деревья,
и март
раскрывает
их.

",[]
289,x x x,"

Тень яблони
живет на красивом лугу.
Она дышит,
пугливо меняет рисунок.
Там же живет самшит,
влюбленный в луну,
одетый кольчугой росинок.
Цикады собираются оркестрами.
Их музыка
достойна удивленья,
и шепчутся с деревьями окрестными
около растущие деревья.
А к утру затихнет их шепот,
погаснет
и ветром задунется.
О, есть что-то,
безмерно заставляющее задуматься...

",[]
290,x x x,"

Перекликаются куропатки...
И, рассеивая аромат,
в том парке
и в этом парке
цветы танцуют и говорят.
Опьяняются ими долины
в пятнах света и темноты,
и опять,
опять неделимы
бабочки
и цветы.
Ветры землю проветривают,
начинаясь там,
у реки.
Пчелы волшебниц проведывают.
Сплетничают мотыльки.
Который год,
о, который год
повторяются эти порядки.
Сумерки спускаются с гор...
Исступленно перекликаются куропатки.

",[]
291,ТУТА,"

Чего,
чего же хочет тута?
Среди ветвей ее темно.
Она поскрипывает туго,
как будто просится в окно.
Она вдоль дома так и ходит,
след оставляет на траве.
Она меня погладить хочет
рукой своей- по голове.
О тута,
нужно в дом проникнуть
и в темноте его пропасть,
и всей корой ко мне приникнуть,
и всей листвой ко мне припасть.

",[]
292,x x x,"

Когда наступит ночь
и вычернит
все камни и цветы вокруг,
когда на небе месяц вычертит
свой точный
неразрывный круг
и склонятся ко сну.
все травы,
все люди,
все живые твари, -
луч месяца соединится
со снегом чистым, молодым,
то белым светом озарится,
то розовым,
то голубым.
Их поцелуй так тих,
отраден
и запахом цветов отравлен.
Лишь палочкою-выручалкой
там птица вдалеке стучит.
Кавкасиони величавый
все видит,
дышит
и молчит.

",[]
293,x x x,"

Что делает весна
с владениями роз?
Ей хочется
заботой их порадовать.
Шиповник
медленный свой замечает рост,
и начинают веточки подрагивать.
Как голосят
влюбленные пернатые
над каждою лужайкой и тропой!
А вот цветы, поникшие,
примятые,
перемешанные с травой.
Их, верно, парни девушкам дарили.
У тех же, видно,
помыслы свои:
они сбегают весело
в долины,
где новые цветы и соловьи.

",[]
294,x x x,"

О ты, чинара,
взмывшая высоко, -
страшны ли тебе ветер и гроза?
На фоне просветлевшего востока
ты открываешь медленно глаза.
Всей кожей на рассвете холодея,
ты распуши листву
и так замри,
безмолвная,
как Тао и Халдея,
соединеньем неба и земли.
Назначена
для страсти и восторга
бровей твоих
надменная краса...
О ты, чинара,
взмывшая высоко, -
страшны ли тебе ветер и гроза?!

                     Арчил Сулакаури

",[]
295,x x x,"

Опять нет снега у земли.
Снег недоступен "" диковин.
Приемлю солнцепек зимы,
облокотись о подоконник.

Дымы из труб - как словеса,
чей важный смысл-абракадабра,
и голубые небеса
дивятся странности подарка.

Я даровал бы крышам снег,
будь я художник иль природа, -
иначе совершенства нет
в пейзаже с тенью дымохода.

                Михаил Квливидзе

             ? И ТЫ

О, уезжай! Играй, играй
в отъезд. Он нас не разлучает.
Ты - это я. И где же грань,
что нас с тобою различает?
Я сам разлуку затевал,
но в ней я ничего не понял.
Я никогда не забывал
тебя. И о тебе не помнил.
Мне кажется игрой смешной
мое с тобою расставанье.
Ты - это я. Меж мной и мной
не существует расстоянья.
О глупенькая! Рви цветы,
спи сладко иль вставай с постели.
Ты думаешь, что это ты
идешь проспектом Руставели?
А это - я. Мои глаза
ты опускаешь, поднимаешь,
моих знакомых голоса
ты слушаешь и понимаешь...
И лишь одно страшит меня
и угрожает непрестанно:
ты - это я. Ты - это я!
А если бы меня не стало?

",[]
296,ГАГРА,"

Меж деревьев и дач - тишина.
Подметание улиц. Поливка.
Море... поступь его тяжела.
Кипарис... его ветка поникла.

И вот тонкий, как будто игла,
Звук возник и предался огласке, -
Начинается в море игра
В смену темной и светлой окраски.

Домик около моря. О ты, -
Только ты, только я в этом доме.
И неведомой формы цветы
Ты приносишь и держишь в ладони.

И один только вид из окна -
Море, море вокруг - без предела!
Спали мы. И его глубина
Подступала и в окна глядела.

Мы бежали к нему по утрам,
И оно нас в себя принимало,
И текло по плечам, по рукам,
И легко холодком пронимало.

Нас вода окружала, вода, -
Литься ей и вовек не пролиться.
И тогда знали мы, и тогда,
Что недолго все это продлится.

Все смешается: море и ты,
Вся печаль твоя, тайна и прелесть,
И неведомой формы цветы,
И травы увядающей прелесть.

В каждом слове твоем - соловьи
Пели, крылышками трепетали.
Были губы твои солоны,
Твои волосы низко спадали...

Снова море. И снова бела
Кромка пены. И это извечно.
Ты была? В самом деле была?
Или нет? Это мне неизвестно.

",[]
297,ПАН,"

Старый дуб, словно прутик, сгибаю,
Достаю в синем небе орла.
Я один колоброжу, гуляю,
Гогочу, как лихая орда.

Я хозяин заброшенных хижин,
Что мелькают в лесу кое-где.
Осторожный и стройный, как хищник,
Жадно я припадаю к еде.

Мне повадно и в стужу и в ветер
Здесь бродить и ступать тяжело.
Этот лес - словно шкура медведя,
Так в нем густо, темно и тепло.

Я охотник. С тяжелою ношей
Прихожу и сажусь у огня.
Я смеюсь этой темною ночью,
Я один - и довольно с меня!

Сказки сказываю до рассвета
И пою. А кому - никому!
Я себе открываю все это,
Я-то все рассужу и пойму.

Я по бору хожу. Слава бору!
Город - там, где отроги темны,
Мне не видно его. Слава богу!
Даже ветер с другой стороны!

Только облако в небе. Да эхо.
Да рассвет предстоящего дня.
Лишь одно только облако это, -
Нет знакомых других у меня!

С длинным посохом, долгие годы,
Одинокий и вечный старик,
Я брожу. И как крепость свободы,
В чаще леса мой домик стоит!

",[]
298,ИЗ НЕПОСЛАННОГО ПИСЬМА,"

Как сверкают и брызгают капли!
По Москве мое тело бредет.
А душа моя - в Картли. О, в Картли,
Одинокая, клич издает.

Там, где персики,
                  персики,
                          персики,
Где сияет и пахнет земля,
Там, где держатся пчелы за пестики
Белоснежных цветов миндаля...

Я такой же, как в прежние годы,
Седина моя в счет не идет.
Но душа моя, вырвавшись в горы,
В Карталинии
                клич
                       издает!

",[]
299,В ПОЕЗДЕ,"

Между нами - лишь день расстоянья.
Не прошло еще целого дня.
От тебя - до меня, до сиянья
Глаз твоих, провожавших меня.

А за окнами горы и горы.
Деловое движенье колес.
День. О господи! Годы и годы
Я твоих не касался волос!

Я соседа плечом задеваю.
""Эхе-хе!""-я себе говорю.
Разговор о тебе затеваю.
У окошка стою. И курю.

",[]
300,ПРОДОЛЖЕНИЕ СЛЕДУЕТ,"

Я говорю вам: научитесь ждать!
Еще не все! Всему дано продлиться!
Безмерных продолжений благодать
не зря вам обещает бред провидца:
возобновит движение рука,
затеявшая добрый жест привета,
и мысль, невнятно тлевшая века,
все ж вычислит простую суть предмета,
смех округлит улыбку слабых уст,
отчаянье взлелеет тень надежды,
и бесполезной выгоды искусств
возжаждет одичалый ум невежды...
Лишь истина окажется права,
в сердцах людей взойдет ее свеченье,
н обретут воскресшие слова
поступков драгоценное значенье.

",[]
301,31 ДЕКАБРЯ,"

Этот день - как зима, если осень причислить к зиме,
и продолжить весной, и прибавить холодное лето.
Этот день - словно год, происходит и длится во мне,
и конца ему нет. О, не слишком ли долго все это?

Год и день, равный году. Печальная прибыль седин.
Развеселый убыток вина, и надежд, и отваги.
Как не мил я себе. Я себе тяжело досадил.
Я не смог приручить одичалость пера и бумаги.

Год и день угасают. Уже не настолько я слеп,
чтоб узреть над собою удачи звезду молодую.
Но, быть может, в пространстве останется след,
или вдруг я уйду - словно слабую свечку задую.

Начинаются новости нового года и дня.
Мир дурачит умы, представляясь блистательно новым.
Новизною своей Новый год не отринет меня
от медлительной вечности меж немотою и словом.

",[]
302,СОБЛЮДАЮЩИЙ ТИШИНУ,"

...В этом мире, где осень, где розовы детские лица,
где слова суеты одинокой душе тяжелы,
кто-то есть...
Он следит, чтоб летели тишайшие листья,
и вершит во вселенной высокий обряд тишины.

",[]
303,КОНЕЦ ОХОТНИЧЬЕГО СЕЗОНА,"

Октябрь. Зимы .и лета перепалка.
Как старый фолиант без переплета-
потрепанная ветром ветхость парка.
И вновь ко мне взывает перепелка

Зовет: - Приди, губитель мой родимый.
Боюсь я жить в моем пустынном поле.
Охотник милосердный и ретивый,
верши судьбу моей последней боли.

Но медлю я в ночи благословенной,
украшенной созвездьями и тишью.
И безнадежно длится во вселенной
любовь меж мной и этой странной птицей.

",[]
304,С ТЕХ ПОР,"

Сколько хлопьев с тех пор,
сколько капель,
сколько малых снежинок в снегу,
сколько крапинок вдавлено в камень,
что лежит на морском берегу,
сколько раз дождик лил по трубе,
сколько раз ветерок этот дунул,
сколько раз о тебе, о тебе,
сколько раз о тебе я подумал!

",[]
305,x x x,"

""О милая!""-так я хотел назвать
ту, что мила, но не была мне милой.
Я возжелал свободы легкокрылой,
снедал меня ее пустой азарт.

Но кто-то был - в дому, или в толпе,
или во мне... Он брал меня за ломоть
и прекращал моих движений легкость,
повелевая помнить о тебе.

Он был мой враг, он врал: ""Прекрасна та""-
Ты, стало быть. Ты не была прекрасна.
Как мне уйти, я думал, как прокрасться
туда, где нет тебя, где пустота?

Как он любил, как он жалел твою
извечную привычку быть любимой!
Все кончено. Побег необходимый
я никогда уже не сотворю.

Но кто он был, твоим глазам, слезам
столь преданный, поникший пред тобою?
Я вычислял, и мудростью тупою
вдруг вычислил, что это был я сам.

",[]
306,ЛИРИЧЕСКИЙ РЕПОРТАЖ,"
<",[]
307,С ПРОСПЕКТА РУСТАВЕЛИ,"

Ошибся тот, кто думал, что проспект
есть улица. Он влажный брег стихии
страстей и таинств. Туфельки сухие,
чтоб вымокнуть, летят в его просвет.

Уж вымокла Как тяжек труд ходьбы
красавицам! Им стыдно или скушно
ходить, как мы. Им ведомо искусство
скольжения по острию судьбы.

Простое слово чуждо их уму,
и плутовства необъяснимый гений
возводит в степень долгих песнопений
два слова: ""Неуже-ели? Почему-у?""

Ах, неуже-ели это март настал?
Но почему-у так жарко? Это странно!
Красавицы средь стекол ресторана
пьют кофе - он угоден их устам.

Как опрометчив доблестный простак,
что не хотел остаться в отдаленьи!
Под взглядом их потусторонней лени
он терпит унижение и страх.

Так я шутил, так брезговал бедой,
покуда на проспекте Руставели
кончался день. Платаны розовели.
Шел теплый дождь. Я был седым-седой.

Я не умел своей душе помочь.
Темнело небо - медленно и сильно...
И жаль мне было, жаль невыносимо
Есенина в ту мартовскую ночь.

",[]
308,ДАЧНАЯ СЮИТА,"

Старомодные тайны субботы
соблюдают свой нежный сюжет.
В этот сад, что исполнен свободы
н томленья полночных существ,

ты не выйдешь - с таинственным мужем,
ты в столовой сидишь допоздна.
Продлевают ваш медленный ужин
две свечи, два бокала вина.

И в окне золотого горенья
все дыханье, все жесты твои
внятны сердцу и скрыты от зренья,
как алгетских садов соловьи.

Когда бы я, не ведая стыда,
просил прохожих оказать мне милость
иль гения нелепая звезда
во лбу моем причудливо светилась, -

вовек не оглянулась бы толпа,
снедаемая суетой слепою.
Но я хотел поцеловать тебя
и потому был окружен толпою.

Пойдем же на вокзал! Там благодать,
там не до нас, там торопливы речи.
Лишь там тебя смогу я целовать -
в честь нашей то ль разлуки, то ли встречи.

",[]
309,СЕВЕРНАЯ БАЛЛАДА,"

Только степи и снег.
Торжество белизны совершенной.
И безвестного путника вдруг оборвавшийся след.

Как отважился он

фамильярничать с бездной вселенной?
В чем разгадка строки,
ненадолго записанной в снег?

Иероглиф судьбы,

наделенный значением крика, -
человеческий след,
уводящий сознанье во тьму...

И сияет пространство,
как будто открытая книга,
чья высокая мудрость
Вовеки невнятна уму.

                ОчКИ

                Памяти Симона Чиковани

Вот кабинет, в котором больше нет
Хозяина, но есть его портрет.
И мне велит судьбы неотвратимость
Сквозь ретушь отчуждения, сквозь дым
Узнать в лице пресветлую родимость
И суть искусства, явленную им.

Замкнул в себе усопших книг тела
Аквариум из пыли и стекла...
Здесь длилась книг и разума беседа,
Любовь кружила головы в дому.
И это все, что кануло бесследна,
Поэзией приходится уму.

Меня пугают лишь его очки -
Еще живые, зрячие почти.
Их странный взгляд глубок и бесконечен,
Всей слепотой высматривая свет,
Они живут, как золотой кузнечик,
И ждут того, чего на свете нет.

",[]
310,x x x,"

В ночи непроходимой, беспросветной
являлась смерть больной душе моей
и говорила мне - За мною следуй!
И я молчал и следовал за ней.

Я шел за ней до рокового края.
В пустое совершенство глубины
вела стена, холодная, сырая, -
я осязал каменья той стены.

Подумал я - в живой тоске последней,
внушающей беспамятство уму:
неужто опыт мудрости посмертной
я испытаю раньше, чем умру?

Я видел тайну, и открытье это
мне и поныне холодит чело:
там не было ни темноты, ни света,
ни тишины, ни звука - ничего.

",[]
311,НОСТАЛЬГИЯ,"

""Беговая"", ""Отрадное""... Радость и бег
этих мест - не мои, не со мною.
Чужеземец, озябший, смотрю я на снег,
что затеян чужою зимою.

Электричества и снегопада труды.
Электричка. Поля и овраги.
Как хочу я лежать средь глубокой травы
там, где Йори и там, где Арагви.

Северяне, я брат ваш, повергнутый в грусть.
Я ослеп от бесцветья метели.
Белый цвет-это ласточек белая грудь.
Я хочу, чтобы птицы летели.

Я хочу... Как пуста за изгибом моста
темнота. Лишь кусты и вороны.
""Где ты был и зачем?"" - мне готовит Москва
домочадцев пустые вопросы.

""Беговая"", ""Отрадное""... Кладбища дач.
Неуместных названий таблицы.
И душа, ослабев, совершает свой плач,
прекращающий мысль о Тбилиси.

",[]
312,x x x,"

Он ждал возникновенья своего
из чащ небытия, из мглы вселенной.
Затем он ждал - все ж этому вело
то юности, то зрелости степенной.

Печально ждал спасенья от любви,
затем спасенья от любви печальной.
Хвалы людей и власти над людьми
он ждал, словно удачи чрезвычайной.

Когда он умер, он узнал про смерть,
что только в ней есть завершенность жеста.
Так первый раз сумел он преуспеть
вполне и навсегда, до совершенства.

",[]
313,МАСШТАБЫ ЖИЗНИ,"

Как комната была велика!
Она была, как земля, широка
и глубока, как река.
Я тогда не знал потолка
выше ее потолка.
И все-таки быстро жизнь потекла,
пошвыряла меня, потолкла.
Я смеялся, купался и греб...
О детских печалей и радостей смесь:
каждое здание - как небоскреб,
каждая обида - как смерть!
Я играл, и любимой игрой
был мир - огромный, завидный:
мир меж Мтацминдой и Курой,
мир меж Курой и Мтацминдой...
Я помню: у девушки на плечах
загар лежал влажно и ровне,
и взгляд ее, выражавший печаль,
звал меня властно и робко.
Я помню: в реке большая вода,
маленькие следы у реки...
Как были годы длинны тогда,
как они сейчас коротки!

",[]
314,x x x,"

Когда я целую тебя,
ты на цыпочки привстаешь, -
ты едва до меня достаешь,
когда я целую тебя...

Как я мало еще совершил.
Я - как путник в далеком пути.
Словно до недоступных вершин,
до тебя мне идти и идти.

",[]
315,СЕВЕРНЫЙ ПЕЙЗАЖ,"

Я видел белый цвет земли,
где безымянный почерк следа
водил каракули средь снега
и начинал тетрадь зимы.

Кого-то так влекло с крыльца!
И снег - уже не лист бесцельный,
а рукопись строки бесценной,
не доведенной до конца.

",[]
316,x x x,"

Родное - я помню немало родных
и лиц, и предметов... Но сколько?
Родное - всего лишь холодный родник,
потрогаешь камень - и скользко,
и чисто,
и весело,
и глубоко.
Дышать там легко, а видать - далеко.
В подоле горы, в подоле горы
подольше гори, подольше гори...
А он говорит и на солнце горит,
и все это так не расскажется.
О сердце, немало ты примешь обид
и все же потом не раскаешься...

",[]
317,СТИХОТВОРЕНИЕ,"
<",[]
318,С ПРОПУЩЕННОЙ СТРОКОЙ,"

Земля, он мертв. Себе его возьми.
Тебе одной принадлежит он ныне.
Как сеятели горестной весны,
хлопочут о цветах его родные.

Чем обернется мертвость мертвеца?
Цветком? Виденьем? Холодком по коже?
Живых людей усталые сердца
чего-то ждут от мертвых. Но чего же?

Какая связь меж теми, кто сейчас
лежит во тьме, насыщенной веками,
и теми, кто заплаканностью глаз
вникает в надпись на могильном камне?

. . . . . . . . . . . . . . . . . . . . . . . . . . . . . .
Что толку в наших помыслах умнейших?
Взывает к нам: - Не забывайте нас! -
бессмертное тщеславие умерших.

",[]
319,ПЕСНЯ,"

Я, как гора, угрюм. А ты горда,
как город, превзошедший города
красой и славой, светом и стеклом.
И вряд ли ты займешься пустяком
души моей. Сегодня, как всегда,
уходят из Тбилиси поезда.

Уходят годы. Бодрствует беда
в душе моей, которая тверда.
в своей привычке узнавать в луне
твое лицо, ниспосланное мне.
Но что луне невзрачная звезда!
Уходят из Тбилиси поезда!

Уходит жизнь - не ведаю куда.
Ты не умрешь. Ты будешь молода.
Вовеки оставайся весела.
Труд двух смертей возьму я на себя-
О, не грусти в час сумерек, когда
уходят из Тбилиси поезда.

",[]
320,x x x,"

Когда б я не любил тебя - угрюмым,
огромным бредом сердца и ума, -
я б ждал тебя, и предавался думам,
н созерцал деревья и дома.

Я бы с родней досужей препирался,
и притворялся пьяницей в пивной,
и алгебра ночного преферанса
клубилась бы и висла надо мной.

Я полюбил бы тихие обеды
в кругу семьи, у скромного стола,
и развлекался скудостью беседы
и вялым звоном трезвого стекла...

Но я любил тебя, и эту муку
я не умел претерпевать один.
О, сколько раз в мою с тобой разлуку
я бедствие чужой души вводил.

Я целовал красу лица чужого,
в нем цвел зрачок - печальный, голубой,
провидящий величие ожога,
в мой разум привнесенного тобой.

Так длилось это тяжкое, большое,
безбожное чудачество любви...
Так я любил. И на лицо чужое
родные теки горечи легли.

",[]
