,Автор стихов,Название,Текст,Год
554,Пушкин,* * *,"

Фонтан любви, фонтан живой!
Принес я в дар тебе две розы.
Люблю немолчный говор твой
И поэтические слезы.

Твоя серебряная пыль
Меня кропит росою хладной:
Ах, лейся, лейся, ключ отрадный!
Журчи, журчи свою мне быль...

Фонтан любви, фонтан печальный!
И я твой мрамор вопрошал:
Хвалу стране прочел я дальной;
Но о 
Марии ты молчал...

Светило бледное гарема!
И здесь ужель забвенно ты?
Или 
Мария и 
Зарема
Одни счастливые мечты?

Иль только сон воображенья
В пустынной мгле нарисовал
Свои минутные виденья,
Души неясный идеал? ",1825
555,Пушкин,* * *,"

Французских рифмачей суровый судия,
О классик 
Депрео, к тебе взываю я:
Хотя постигнутый неумолимым роком
В своем отечестве престал ты быть пророком,
Хоть дерзких умников простерлася рука
На лавры твоего густого парика;
Хотя, растрепанный новейшей вольной школой,
К ней в гневе обратил ты свой затылок голый,
Но я молю тебя, поклонник верный твой –
Будь мне вожатаем. 
Дерзаю за тобой
Занять кафедру ту, с которой в прежни лета
Ты слишком превознес достоинства сонета,
Но где торжествовал твой здравый приговор
Глупцам минувших лет, вранью тогдашних пор.
Новейшие врали вралей старинных стоят –
И слишком уж меня их бредни беспокоят.
Ужели всё молчать, да слушать? 
О беда!..
Нет, всё им выскажу однажды завсегда.
О вы, которые, восчувствовав отвагу,
Хватаете перо, мараете бумагу,
Тисненью предавать труды свои спеша,
Постойте – наперед узнайте, чем душа
У вас исполнена – прямым ли вдохновеньем
Иль необдуманным одним поползновеньем,
И чешется у вас рука по пустякам,
Иль вам не верят в долг, а деньги нужны вам.
Не лучше ль стало б вам с надеждою смиренной
Заняться службою гражданской иль военной,
С хваленым 
Жуковым табачный торг завесть
И снискивать в труде себе барыш и честь,
Чем объявления совать во все журналы,
Вельможе пошлые кропая мадригалы,
Над меньшей собратьей в поту лица острясь,
Иль выше мнения отважно вознесясь,
С оплошной публики (как некие писаки)
Подписку собирать – на будущие враки... ",1836
556,Пушкин,* * *,"

«
Хоть впрочем он поэт изрядный,
Эмилий человек пустой».
- «
Да ты чем полон, шут нарядный?
А, понимаю: сам собой:
Ты полон дряни, милый мой!» ",1821
557,Пушкин,* * *,"

Храни меня, мой талисман,
Храни меня во дни гоненья,
Во дни раскаянья, волненья:
Ты в день печали был мне дан.

Когда подымет океан
Вокруг меня валы ревучи,
Когда грозою грянут тучи –
Храни меня, мой талисман.

В уединенье чуждых стран,
На лоне скучного покоя,
В тревоге пламенного боя
Храни меня, мой талисман.

Священный сладостный обман,
Души волшебное светило...
Оно сокрылось, изменило...
Храни меня, мой талисман.

Пускай же ввек сердечных ран
Не растравит воспоминанье.
Прощай, надежда; спи, желанье;
Храни меня, мой талисман. ",1833
558,Пушкин,Христос воскрес,"
Христос воскрес, моя 
Реввека!
Сегодня следуя душой
Закону бога-человека,
С тобой цалуюсь, ангел мой.
А завтра к вере 
Моисея
За поцалуй я не робея
Готов, еврейка, приступить - 
И даже то тебе вручить,
Чем можно верного еврея
От православных отличить. ",1821
559,Пушкин,"Христос воскрес, питомец Феба!.. (Из письма к В.Л. Пущину)","
Христос воскрес, питомец 
Феба! 
Дай бог, чтоб милостию неба
Рассудок на 
Руси воскрес;
Он что-то, кажется, исчез.
Дай бог, чтобы во всей вселенной
Воскресли мир и тишина,
Чтоб в 
Академии почтенной
Воскресли члены ото сна;
Чтоб в наши грешны времена
Воскресла предков добродетель;
Чтобы 
Шихматовым на зло
Воскреснул новый 
Буало - 
Расколов, глупости свидетель;
А с ним побольше серебра
И золота et caetera.

 
Но да не будет воскресенья
Усопшей прозы и стихов.
Да не воскреснут от забвенья
Покойный господин 
Бобров,
Хвалы газетчика достойный,
И 
Николев, поэт покойный,
И беспокойный граф 
Хвостов,
И все, которые на свете
Писали слишком мудрено,
То есть, и хладно и темно,
Что очень стыдно и грешно!

 ",1816
560,Пушкин,Художнику,"

Грустен и весел вхожу, ваятель, в твою мастерскую:
 
Гипсу ты мысли даешь, мрамор послушен тебе:
Сколько богов, и богинь, и героев!... 
Вот 
Зевс 
Громовержец,
 
Вот изподлобья глядит, дуя в цевницу, сатир.
Здесь зачинатель 
Барклай, а здесь совершитель 
Кутузов.
 
Тут 
Аполлон – идеал, там 
Ниобея – печаль....
Весело мне. 
Но меж тем в толпе молчаливых кумиров –
 
Грустен гуляю: со мной доброго 
Дельвига нет;
В темной могиле почил художников друг и советник.
 
Как бы он обнял тебя! как бы гордился тобой! ",1830
561,Пушкин,* * *,"

Царей потомок 
Меценат,
Мой покровитель стародавний,
Иные колесницу мчат
В ристалище под пылью славной
И, заповеданной ограды
Касаясь жгучим колесом,
Победной ждут себе награды
И мнят быть равны с божеством.
Другие на свою главу
Сбирают титла знамениты,
Непостоянные квириты
Им предают …. . молву. ",1833
562,Пушкин,Царское село,"
Хранитель милых чувств и прошлых наслаждений,
О ты, певцу дубрав давно знакомый 
Гений,
Воспоминание, рисуй передо мной
Волшебные места, где я живу душой,
Леса, где [я] любил, где [чувство] развивалось,
Где с первой юностью младенчество сливалось
И где, взлелеянный природой и мечтой,
Я знал поэзию, веселость и покой... 
Другой пускай поет [героев] и войну,
Я скромно возлюбил живую тишину
И, чуждый призраку блистательныя славы,[
Вам], 
Царского 
Села прекрасные дубравы,
Отныне посвятил безвестной 
Музы друг
И песни мирные и сладостный досуг. 
Веди, веди меня под липовые сени,
Всегда любезные моей свободной лени,
На берег озера, на тихий скат холмов!..
Да вновь увижу я ковры густых лугов
И дряхлый пук дерев, и светлую долину,
И злачных берегов знакомую картину,
И в тихом [озере], средь блещущих зыбей,
Станицу гордую спокойных лебедей. ",1823
563,Пушкин,Царскосельская статуя,"

Урну с водой уронив, об утес ее дева разбила.
Дева печально сидит, праздный держа черепок,
Чудо! не сякнет вода, изливаясь из урны разбитой;
Дева, над вечной струей, вечно печальна сидит. ",1828
564,Пушкин,Царь Никита и сорок его дочерей,"
Царь 
Никита жил когда-то
Праздно, весело, богато,
Не творил добра, ни зла,
И земля его цвела.
Царь трудился понемногу,
Кушал, пил, молился богу
И от разных матерей
Прижил сорок дочерей,
Сорок девушек прелестных,
Сорок ангелов небесных,
Милых сердцем и душой.
Что за ножка — боже мой,
А головка, темный волос,
Чудо — глазки, чудо — голос,
Ум — с ума свести бы мог.
Словом, с головы до ног
Душу, сердце все пленяло;
Одного недоставало.
Да чего же одного?
Так, безделки, ничего.
Ничего иль очень мало,
Все равно—недоставало.
Как бы это изъяснить,
Чтоб совсем не рассердить
Богомольной важной дуры,
Слишком чопорной цензуры?
Как быть?.. 
Помоги мне, бог!
У царевен между ног...
Нет, уж это слишком ясно
И для скромности опасно, —
Так иначе как-нибудь:
Я люблю в 
Венере грудь,
Губки, ножку особливо,
Но любовное огниво,
Цель желанья моего...
Что такое?.. 
Ничего!..
Ничего, иль очень мало...
И того-то не бывало
У царевен молодых,
Шаловливых и живых.
Их чудесное рожденье
Привело в недоуменье
Все придворные сердца.
Грустно было для отца
И для матерей печальных
А от бабок повивальных
Как узнал о том народ —
Всякий тут разинул рот,
Ахал, охал, дивовался,
И иной, хоть и смеялся,
Да тихонько, чтобы в путь
До 
Нерчинска не махнуть.
Царь созвал своих придворных
Нянек, мамушек покорных —
Им держал такой приказ:«
Если кто-нибудь из вас
Дочерей греху научит,
Или мыслить их приучит,
Или только намекнет,
Что у них недостает,
Иль двусмысленное скажет
Или кукиш им покажет. —
T
O - шутить я не привык —
Бабам вырежу язык,
А мужчинам нечто хуже,
Что порой бывает туже».
Царь был строг, но справедлив,
А приказ красноречив;
Всяк со страхом поклонился,
Остеречься всяк решился,
Ухо всяк держал востро
И хранил свое добро.
Жены бедные боялись,
Чтоб мужья не проболтались;
Втайне думали мужья:«
Провинись, жена моя!»(
Видно, сердцем были гневны.)
Подросли мои царевны.
Жаль их стало. 
Царь — в совет;
Изложил там свой предмет:
Так и так — довольно ясно,
Тихо, шепотом, негласно,
Осторожнее от слуг.
Призадумались бояры,
Как лечить такой недуг.
Вот один советник старый
Поклонился всем — и вдруг
В лысый лоб рукою брякнул
И царю он так вавакнул:«
О, премудрый государь!
Не взыщи мою ты дерзость,
Если про плотскую мерзость
Расскажу, что было встарь
Мне была знакома сводня(
Где она? 
И чем сегодня?
Верно тем же, чем была).
Баба ведьмою слыла,
Всем недугам пособляла,
Немощь членов исцеляла
Вот ее бы разыскать;
Ведьма дело все поправит:
А что надо—то и вставит»— «
Так за ней сейчас послать!
Восклицает царь 
Никита,
Брови сдвинувши сердито:— 
Тотчас ведьму отыскать
Если ж нас она обманет,
Чего надо, не достанет,
На бобах нас проведет,
Или с умыслом солжет, —
Будь не царь я, а бездельник,
Если в чистый понедельник
Сжечь колдунью не велю:
И тем небо умолю».
Вот секретно, осторожно,
По курьерской подорожной
И во все земли концы
Были посланы гонцы.
Они скачут, всюду рыщут
И царю колдунью ищут.
Год проходит и другой —
Нету вести никакой.
Наконец один ретивый
Вдруг напал на след счастливый.
Он заехал в темный лес(
Видно, вел его сам бес),
Видит он: в лесу избушка,
Ведьма в ней живет, старушка.
Как он был царев посол,
То к ней прямо и вошел,
Поклонился ведьме смело,
Изложил царево дело:
Как царевны рождены
И чего все лишены.
Ведьма мигом все смекнула...
В дверь гонца она толкнула,
Так промолвив: «
Уходи
Поскорей и без оглядки,
Не то — бойся лихорадки...
Через три дня приходи
За посылкой и ответом,
Только помни — чуть с рассветом.
После ведьма заперлась,
Уголечком запаслась,
Трое суток ворожила,
Так что беса приманила,
Чтоб отправить во дворец,
Сам принес он ей ларец,
Полный грешными вещами,
Обожаемыми нами.
Там их было всех сортов,
Всех размеров, всех цветов,
Все отборные, с кудрями..,
Ведьма все перебрала,
Сорок лучших оточла,
Их в салфетку завернула
И на ключ в ларец замкнула,
С ним отправила гонца,
Дав на путь серебреца.
Едет он. 
Заря зарделась...
Отдых сделать захотелось,
Захотелось закусить,
Жажду водкой утолить:
Он был малый аккуратный,
Всем запасся в путь обратный.
Вот коня он разнуздал
И покойно кушать стал.
Конь пасется. 
Он мечтает,
Как его царь вознесет,
Графом, князем назовет.
Что же ларчик заключает?
Что царю в нем ведьма шлет?
В щелку смотрит: нет, не видно
Заперт плотно. 
Как обидно!
Любопытство страх берет,
И всего его тревожит.
Ухо он к замку приложит —
Ничего не чует слух;
Нюхает — знакомый дух...
Тьфу ты пропасть! что за чудо?
Посмотреть ей-ей не худо
И не вытерпел гонец...
Но лишь отпер он ларец,
Птички — порх и улетели,
И кругом на сучья сели
И хвостами завертели.
Наш гонец давай их звать,
Сухарями их прельщать:
Крошки сыплет—все напрасно(
Видно, кормятся не тем):
На сучках им петь прекрасно,
А в ларце сидеть зачем?
Вот тащится вдоль дороги,
Вся согнувшися дугой,
Баба старая с клюкой.
Наш гонец ей бухнул в ноги:«
Пропаду я с головой!
Помоги, будь мать родная!
Посмотри, беда какая:
Не могу их изловить!
Как же горю пособить?»
Вверх старуха посмотрела,
Плюнула и прошипела:«
Поступил ты хоть и скверно,
Но не плачься, не тужи...
Ты им только покажи —
Сами все слетят наверно».«
Ну, спасибо!» он сказал...
И лишь только показал —
Птички вмиг к нему слетели
И квартирой овладели.
Чтоб беды не знать другой,
Он без дальних отговорок
Тотчас их под ключ все сорок,
И отправился домой.
Как княжны их получили,
Прямо в клетки посадили.
Царь на радости такой
Задал тотчас пир горой:
Семь дней сряду пировали,
Целый месяц отдыхали;
Царь совет весь наградил,
Да и ведьму не забыл:
Из кунсткамеры в подарок
Ей послал в спирту огарок(
Тот, который всех дивил),
Две ехидны, да скелета
Из того же кабинета...
Награжден был и гонец.
Вот и сказочки конец.
Многие меня поносят
И теперь, пожалуй, спросят:
Глупо так зачем шучу?
Что за дело им? 
Хочу!
 ",
565,Пушкин,* * *,"

Царь увидел пред собою
Столик с шахматной доской.
Вот на шахматную доску
Рать солдатиков из воску
Он расставил в стройный ряд.
Грозно куколки стоят,
Подбоченясь на лошадках,
В коленкоровых перчатках,
В оперенных шишачках,
С палашами на плечах.
Тут лохань перед собою
Приказал налить водою;
Плавать он пустил по ней
Тьму прекрасных кораблей,
Барок, каторог и шлюпок
Из ореховых скорлупок –
………. . .
………. . .
А прозрачные ветрильцы
Будто бабочкины крильцы. ",1821
566,Пушкин,Цветок,"

Цветок засохший, безуханный,
Забытый в книге вижу я;
И вот уже мечтою странной
Душа наполнилась моя:

Где цвёл? когда? какой весною?
И долго ль цвёл? 
И сорван кем,
Чужой, знакомой ли рукою?
И положен сюда зачем?

На память нежного ль свиданья,
Или разлуки роковой,
Иль одинокого гулянья
В тиши полей, в тени лесной?

И жив ли тот, и та жива ли?
И нынче где их уголок?
Или уже они увяли,
Как сей неведомый цветок? ",1830
567,Пушкин,* * *,"

Цветы последние милей
Роскошных первенцев полей.
Они унылые мечтанья
Живее пробуждают в нас.
Так иногда разлуки час
Живее сладкого свиданья. ",1830
568,Пушкин,* * *,"

Ценитель умственных творений исполинских,
Друг бардов английских, любовник муз латинских,
Ты к мощной древности опять меня манишь,
Ты снова мне ………велишь.
Простясь с …. мечтой и бледным идеалом,
Я приготовился бороться с 
Ювеналом,
Чьи строгие стихи, неопытный поэт,
Стихами перевесть я было дал обет.
Но, развернув его суровые творенья,
Не мог я одолеть пугливого смущенья...
Стихи бесстыдные приапами торчат,
В них звуки странною гармонией трещат – ",1836
569,Пушкин,Чедаеву,"

В стране, где я забыл тревоги прежних лет,
Где прах 
Овидиев пустынный мой сосед,
Где слава для меня предмет заботы малой,
Тебя недостает душе моей усталой.
Врагу стеснительных условий и оков,
Не трудно было мне отвыкнуть от пиров,
Где праздный ум блестит, тогда как сердце дремлет,
И правду пылкую приличий хлад объемлет.
Оставя шумный круг безумцев молодых,
В изгнании моем я не жалел об них;
Вздохнув, оставил я другие заблужденья,
Врагов моих предал проклятию забвенья,
И, сети разорвав, где бился я в плену,
Для сердца новую вкушаю тишину.
В уединении мой своенравный гений
Познал и тихой труд, и жажду размышлений.
Владею днем моим; с порядком дружен ум;
Учусь удерживать вниманье долгих дум:
Ищу вознаградить в объятиях свободы
Мятежной младостью утраченные годы
И в просвещении стать с веком наровне.
Богини мира, вновь явились 
Музы мне
И независимым досугам улыбнулись;
Цевницы брошенной уста мои коснулись;
Старинный звук меня обрадовал - и вновь
Пою мои мечты, природу и любовь,
И дружбу верную, и милые предметы,
Пленявшие меня в младенческие леты,
В те дни, когда, еще незнаемый никем,
Не зная ни забот, ни цели, ни систем,
Я пеньем оглашал приют забав и лени
И царскосельские хранительные сени.
 
Но 
Дружбы нет со мной. 
Печальный вижу я
Лазурь чужих небес, полдневные края;
Ни музы, ни труды, ни радости досуга -
Ничто не заменит единственного друга.
Ты был целителем моих душевных сил;
О неизменный друг, тебе я посвятил
И краткий век, уже испытанный 
Судьбою,
И чувства - может быть спасенные тобою!
Ты сердце знал мое во цвете юных дней;
Ты видел, как потом в волнении страстей
Я тайно изнывал, страдалец утомленный;
В минуту гибели над бездной потаенной
Ты поддержал меня недремлющей рукой;
Ты другу заменил надежду и покой;
Во глубину души вникая строгим взором,
Ты оживлял ее советом иль укором;
Твой жар воспламенял к высокому любовь;
Терпенье смелое во мне рождалось вновь;
Уж голос клеветы не мог меня обидеть,
Умел я презирать, умея ненавидеть.
Что нужды было мне в торжественном суде
Холопа знатного, невежды
звезде,
Или философа, который в прежни лета
Развратом изумил четыре части света,
Но просветив себя, загладил свой позор:
Отвыкнул от вина и стал картежный вор?
Оратор 
Лужников, никем не замечаем,
Мне мало досаждал своим безвредным лаем
Мне ль было сетовать о толках шалунов,
О лепетаньи дам, зоилов и глупцов
И сплетней разбирать игривую затею,
Когда гордиться мог я дружбою твоею?
Благодарю богов: прешел я мрачный путь;
Печали ранние мою теснили грудь;
К печалям я привык, расчелся я с 
Судьбою
И жизнь перенесу стоической душою.
 
Одно желание: останься ты со мной!
Небес я не томил молитвою другой.
О скоро ли, мой друг, настанет срок разлуки?
Когда соединим слова любви и руки?
Когда услышу я сердечный твой привет?...
Как обниму тебя! 
Увижу кабинет,
Где ты всегда мудрец, а иногда мечтатель
И ветреной толпы бесстрастный наблюдатель.
Приду, приду я вновь, мой милый домосед,
С тобою вспоминать беседы прежних лет,
Младые вечера, пророческие споры,
Знакомых мертвецов живые разговоры;
Поспорим, перечтем, посудим, побраним,
Вольнолюбивые надежды оживим,
И счастлив буду я; но только, ради бога,
Гони ты 
Шепинга от нашего порога. ",1821
570,Пушкин,* * *,"

Чем чаще празднует лицей
Свою святую годовщину,
Тем робче старый круг друзей
В семью стесняется едину,
Тем реже он; тем праздник наш
В своем веселии мрачнее;
Тем глуше звон заздравных чаш,
И наши песни тем грустнее.

Так дуновенья бурь земных
И нас нечаянно касались,
И мы средь пиршеств молодых
Душою часто омрачались;
Мы возмужали; рок судил
И нам житейски испытанья,
И смерти дух средь нас ходил
И назначал свои закланья.

Шесть мест упраздненных стоят,
Шести друзей не узрим боле,
Они разбросанные спят –
Кто здесь, кто там на ратном поле,
Кто дома, кто в земле чужой,
Кого недуг, кого печали
Свели во мрак земли сырой,
И надо всеми мы рыдали.

И мнится, очередь за мной,
Зовет меня мой 
Дельвиг милый,
Товарищ; юности живой,
Товарищ юности унылой,
Товарищ песен молодых,
Пиров и чистых помышлений,
Туда, в толпу теней родных
Навек от нас утекший гений.

Тесней, о милые друзья,
Тесней наш верный круг составим,
Почившим песнь окончил я,
Живых надеждою поздравим,
Надеждой некогда опять
В пиру лицейском очутиться,
Всех остальных еще обнять
И новых жертв уж не страшиться. ",1830
571,Пушкин,Черная шаль,"
Гляжу, как безумный, на черную шаль,
И хладную душу терзает печаль. 
Когда легковерен и молод я был,
Младую гречанку я страстно любил; 
Прелестная дева ласкала меня,
Но скоро я дожил до черного дня. 
Однажды я созвал веселых гостей;
Ко мне постучался презренный еврей; 
«
С тобою пируют (шепнул он) друзья;
Тебе ж изменила гречанка твоя.» 
Я дал ему злата и проклял его
И верного позвал раба моего. 
Мы вышли; я мчался на быстром коне.
И кроткая жалость молчала во мне. 
Едва я завидел гречанки порог,
Глаза потемнели, я весь изнемог... 
В покой отдаленный вхожу я один...
Неверную деву лобзал армянин. 
Не взвидел я света; булат загремел....
Прервать поцелуя злодей не успел. 
Безглавое тело я долго топтал,
И молча на деву, бледнея, взирал. 
Я помню моленья.... текущую кровь....
Погибла гречанка, погибла любовь! 
С главы ее мертвой сняв черную шаль,
Отер я безмолвно кровавую сталь. 
Мой раб, как настала вечерняя мгла,
В дунайские волны их бросил тела. 
С тех пор не цалую прелестных очей,
С тех пор я не знаю веселых ночей. 
Гляжу, как безумный, на черную шаль
И хладную душу терзает печаль. 

 ",1820
572,Пушкин,Чиновник и поэт,"
«
Куда вы? за город конечно,
Зефиром утренним дышать
И с вашей 
Музою мечтать
Уединенно [и] беспечно?»- 
Нет, я сбираюсь на базар,
Люблю базарное волненье,
Скуфьи жидов, усы болгар
И спор и крик, и торга жар,
Нарядов пестрое стесненье.
Люблю толпу, лохмотья, шум -
И жадной черни [лай] свободный.«
Так - наблюдаете - ваш ум
И здесь вникает в дух народный.
Сопровождать вас рад бы я,
Чтоб слышать ваши замечанья;
Но службы долг зовет меня,
Простите, [нам] не до гулянья».- 
Куда ж? -
 «
В острог - сегодня мы
Выпровождаем из тюрьмы[
За молдаванскую границу]. [
Кирджали]».  ",1823
573,Пушкин,* * *,"

Что белеется на горе зеленой?
Снег ли то, али лебеди белы?
Был бы снег – он уже бы растаял,
Были б лебеди – они б улетели.
То не снег и не лебеди белы,
А шатер 
Аги 
Асан–аги.
Он лежит в нем, весь люто изранен.
Посетили его сестра и матерь,
Его люба не могла, застыдилась.
Как ему от боли стало легче,
Приказал он своей верной любе:
«
Ты не ищи меня в моем белом доме,
В белом доме, ни во всем моем роде».
Как услышала мужнины речи,
Запечалилась бедная 
Кадуна.
Она слышит, на двор едут кони;
Побежала 
Асан–агиница,
Хочет броситься, бедная, в окошко,
За ней вопят две милые дочки:
«
Воротися, милая мать наша,
Приехал не муж 
Асан–ага,
А приехал брат твой 
Пинторович.»
Воротилась 
Асан–агиница,
И повисла она брату на шею –
«
Братец милый, что за посрамленье!
Меня гонят от пятерых деток.» ",1833
574,Пушкин,* * *,"

Что в имени тебе моем?
Оно умрет, как шум печальный
Волны, плеснувшей в берег дальний,
Как звук ночной в лесу глухом.

Оно на памятном листке
Оставит мертвый след, подобный
Узору надписи надгробной
На непонятном языке.

Что в нем? 
Забытое давно
В волненьях новых и мятежных,
Твоей душе не даст оно
Воспоминаний чистых, нежных.

Но в день печали, в тишине,
Произнеси его тоскуя;
Скажи: есть память обо мне,
Есть в мире сердце, где живу я... ",1822
575,Пушкин,* * *,"

Чу, пушки грянули! крылатых кораблей
Покрылась облаком станица боевая,
Корабль вбежал в 
Неву – и вот среди зыбей
Качаясь плавает, как лебедь молодая.

Ликует русский флот. 
Широкая 
Нева
Без ветра, в ясный день глубоко взволновалась,
Широкая волна плеснула в острова
…………………. . ",1830
576,Пушкин,* * *,"

Чугун кагульский, ты священ
Для русского, для друга славы —
Ты средь торжественных знамен
Упал горящий и кровавый,
Героев севера губя
…………… ",1830
577,Пушкин,* * *,"

Шумит кустарник... 
На утес
Олень веселый выбегает,
Пугливо он подножный лес
С вершины острой озирает,
Глядит на светлые луга,
Глядит на синий свод небесный
И на днепровские брега,
Венчанны чащею древесной.
Недвижим, строен он стоит
И чутким ухом шевелит...
Но дрогнул он – незапный звук
Его коснулся – боязливо
Он шею вытянул и вдруг
С вершины прянул. ",1816
578,Пушкин,Эвлега,"
Вдали ты зришь утес уединенный;
Пещеры в нем изрылась глубина:
Темнеет вход, кустами окруженный,
Вблизи шумит и пенится волна.
Вечор, когда туманилась луна,
Здесь милого 
Эвлега призывала;
Здесь тихий глас горам передавала
Во тьме ночной печальна и одна:

 «
Приди, 
Одульф, уж роща побледнела.
На дикой мох 
Одульфа ждать я села,
Пылает грудь, за вздохом вздох летит.
О! сладко жить, мой друг, душа с душою.
Приди, 
Одульф, забудусь я с тобою,
И поцелуй любовью возгорит.

 
Беги, 
Осгар, твои мне страшны взоры,
Твой грозен вид, и хладны разговоры.
Оставь меня, не мною торжествуй!
Уже другой в ночи со мною дремлет,
Уж на заре другой меня объемлет,
И сладостен его мне поцелуй.

 
Что ж медлит он свершить мои надежды?
Для милого я сбросила одежды!
Завистливый покров у ног лежит.
Но чу!... идут - так! это друг мой нежный.
Уж начались восторги страсти нежной,
И поцелуй любовью возгорит».

 
Идет 
Одульф; во взорах - упоенье,
В груди - любовь, и прочь бежит печаль;
Но близ его во тьме сверкнула сталь,
И вздрогнул он - родилось подозренье:«
Кто ты? - спросил, - почто ты здесь? 
Вещай, 
Ответствуй мне, о сын угрюмой ночи!»

 «
Бессильный враг! 
Осгара убегай!
В пустынной тьме что ищут робки очи?
Страшись меня, я страстью воспален:
В пещере здесь 
Эйлега ждет 
Осгара!»
Булатный меч в минуту обнажен,
Огонь летит струями от удара...

 
Услышала 
Эвлега стук мечей
И бросила со страхом хлад пещерный.«
Приди узреть предмет любви твоей! -
Вскричал 
Одульф подруге нежной, верной. - 
Изменница! ты здесь его зовешь?
Во тьме ночной вас услаждает нега,
Но дерзкого в 
Валгалле ты найдешь!»

 
Он поднял меч... и с трепетом 
Эвлега
Падет на дерн, как клок летучий снега,
Мятелицей отторженный со скал!
Друг на друга соперники стремятся,
Кровавый ток по камням побежал:
В кустарники с отчаяньем катятся.
Последний глас 
Эвлегу призывал,
И смерти хлад их ярость оковал.
 ",1814
579,Пушкин,Экспромт на Агареву,"
В молчаньи пред тобой сижу. 
Напрасно чувствую мученье, 
Напрасно на тебя гляжу:
Того уж верно не скажу,
Что говорит воображенье.

 ",1816
580,Пушкин,Элегия (Безумных лет угасшее веселье...),"

Безумных лет угасшее веселье
Мне тяжело, как смутное похмелье.
Но, как вино – печаль минувших дней
В моей душе чем старе, тем сильней.
Мой путь уныл. 
Сулит мне труд и горе
Грядущего волнуемое море.
Но не хочу, о други, умирать;
Я жить хочу, чтоб мыслить и страдать;
И ведаю, мне будут наслажденья
Меж горестей, забот и треволненья:
Порой опять гармонией упьюсь,
Над вымыслом слезами обольюсь,
И может быть – на мой закат печальный
Блеснёт любовь улыбкою прощальной. ",1816
581,Пушкин,Элегия (Воспоминаньем упоенный...),"
Воспоминаньем упоенный,
С благоговеньем и тоской
Объемлю грозный мрамор твой,
Кагула памятник надменный.
Не смелый подвиг россиян,
Не слава, дар 
Екатерине,
Не задунайский великан
Меня воспламеняют ныне... ........................................................

 ",1819
582,Пушкин,"Элегия (Счастлив, кто...)","

Счастлив, кто в страсти сам себе
Без ужаса признаться смеет;
Кого в неведомой судьбе
Надежда робкая лелеет:
Кого луны туманный луч
Ведет в полночи сладострастной;
Кому тихонько верный ключ
Отворит дверь его прекрасной!

Но мне в унылой жизни нет
Отрады тайных наслаждений;
Увял надежды ранний цвет:
Цвет жизни сохнет от мучений!
Печально младость улетит,
Услышу старости угрозы,
Но я, любовью позабыт,
Моей любви забуду ль слезы! ",1816
583,Пушкин,Элегия (Я видел смерть...),"

Я видел смерть; она в молчанье села
У мирного порогу моего;
Я видел гроб; открылась дверь его;

 
Душа, померкнув, охладела...

 
Покину скоро я друзей,

 
И жизни горестной моей

 
Никто следов уж не приметит;

 
Последний взор моих очей

 
Луча бессмертия не встретит,
И погасающий светильник юных дней

 
Ничтожества спокойный мрак осветит.
………………. .
Прости, печальный мир, где темная стезя

 
Над бездной для меня лежала —
Где вера тихая меня не утешала,

 
Где я любил, где мне любить нельзя!

Прости, светило дня, прости, небес завеса,
Немая ночи мгла, денницы сладкий час,
Знакомые холмы, ручья пустынный глас,

 
Безмолвие таинственного леса,

И все... прости в последний раз.

А ты, которая была мне в мире богом,
Предметом тайных слез и горестей залогом,
Прости! минуло всё... 
Уж гаснет пламень мой,

 
Схожу я в хладную могилу,

 
И смерти сумрак роковой
С мученьями любви покроет жизнь унылу.
 
А вы, друзья, когда, лишенный сил,

 
Едва дыша, в болезненном боренье,

 
Скажу я вам: «
О други! я любил!..»

 
И тихий дух умрет в изнеможенье,

 
Друзья мои,— тогда подите к ней;

Скажите: взят он вечной тьмою...
И, может быть, об участи моей
Она вздохнет над урной гробовою. ",1829
